SMILES	MW	TPSA	AROM	HBA	HBD	ROTB	LOGP	RING
CN1C2CCC1CC(C2)OC(c1ccc(F)cc1)c1ccc(F)cc1	343.41700000000003	12.47	2	2		4	4.696000000000004	4
C[C@]12CCC3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O	290.447	37.3		2	1		3.959100000000003	4
NC(=O)c1cccc(N)c1	136.154	69.11	1	2	2	1	0.36770000000000025	1
NC(=O)c1cccc(N)c1	136.154	69.11	1	2	2	1	0.36770000000000025	1
OCCCNc1ccccc1	151.20899999999997	32.26	1	2	2	4	1.4808999999999999	1
C=CCN1CCN(CC1)c1nc2ccccc2nc1C#N	279.34700000000004	56.050000000000004	2	5		3	1.80948	3
[O-][N+](=O)c1cccc2c(Br)n[nH]c12	242.03199999999998	71.82	2	3	1	1	2.2336	2
[O-][N+](=O)c1cccc2c(Br)n[nH]c12	242.03199999999998	71.82	2	3	1	1	2.2336	2
CC1(C)C2CCC1(C)C(=O)C2Br	231.133	17.07		1			2.775100000000001	2
OC(=O)C(=O)CBr	166.958	54.37		2	1	2	0.034999999999999976	
OC(=O)C(=O)CBr	166.958	54.37		2	1	2	0.034999999999999976	
OC(=O)C(=O)CBr	166.958	54.37		2	1	2	0.034999999999999976	
N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O	211.17299999999997	120.85	1	4	4	3	0.1748	1
N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O	211.17299999999997	120.85	1	4	4	3	0.1748	1
CN1C2CCC1CC(C2)OC(c1ccccc1)c1ccc(Cl)cc1	341.88200000000006	12.47	2	2		4	5.071200000000005	4
Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O	266.257	126.65	2	8	4	2	-1.3750000000000007	3
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O	262.269	117.42	2	7	4	2	-0.7913000000000003	3
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O	262.269	117.42	2	7	4	2	-0.7913000000000003	3
OCC1OC(C(O)C1O)N1C=CC(=O)CC1=O	243.21499999999997	107.29999999999998		6	3	2	-2.259499999999999	2
CCC(O)(CC(N)=O)c1ccccc1	193.24600000000004	63.32	1	2	2	4	1.1596000000000002	1
OC(=O)CCCc1c[nH]c2ccccc12	203.241	53.089999999999996	2	1	2	4	2.5752000000000006	2
